X,Y,OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_OWNER,DEA_FACILITY_NAME,DEA_BUSINESS_CONTACT,DEA_BUSINESS_PHONE,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,SIGNID
-122.338840758482,47.6087020230833,13793,733680,,UNITED PARKING INC 4427,JONATHAN DIAMOND,2062843100           ,"1401 2ND AVE, SEATTLE, WA 98101",184,UNITED PARKING INC 4427,,,,,,,,,,,,,,,N,,,
-122.337768191315,47.6074014426092,13794,613240,,REPUBLIC PARKING 529 WAMU CENTER,GARY BECK,2067834144           ,"1301 2ND AVE, SEATTLE, WA 98101",698,REPUBLIC PARKING 529 WAMU CENTER,,,,,,,,,,,,,,,N,,,
-122.336106735509,47.6072319073209,13795,1807,,STATION 244,BOB TURLEY,2062843100           ,"1201 3RD AVE, SEATTLE, WA 98101",808,STATION 244,,,,,,,,,,,,,,,N,,,
-122.340376320651,47.6070340900957,13796,683126,,DIAMOND PARKING  A451,JONATHAN DIAMOND,2062843100           ,"1334 ALASKAN WAY, SEATTLE, WA 98101",8,DIAMOND PARKING  A451,,,,,,,,,,,,,,,N,,,
-122.335807116375,47.6064171198115,13797,692709,,ACE PARKING LOT 3274 2ND & SPRING GARAGE,KEITH JONES,6192336624           ,"1100 2ND AVE, SEATTLE, WA 98101",69,ACE PARKING LOT 3274 2ND & SPRING GARAGE,,,,,,,,,,,,,,,N,,,
-122.333879387102,47.6061472204962,13798,726757,,ABM PARKING 7018,,2062670446           ,"1001 4TH AVE, SEATTLE, WA 98104",590,ABM PARKING 7018,,,,,,,,,,,,,,,N,,,
-122.334467445302,47.6036964228949,13799,646200,,IPM  39 NORTON BUILDING,JOAN SUNDBERG,2062540811           ,"800 1ST AVE, SEATTLE, WA 98104",289,IPM  39 NORTON BUILDING,,,,,,,,,,,,,,,N,,,
-122.339192241601,47.6101386197772,13800,671823,,DIAMOND PARKING  A431,JONATHAN DIAMOND,2062843100           ,"1526 2ND AVE, SEATTLE, WA 98101",25,DIAMOND PARKING  A431,,,,,,,,,,,,,,,N,,,
-122.339431915131,47.6086693519349,13801,4194,,METRO PARKING INC,DEBRA MUSCATEL,4258682143           ,"1430 1ST AVE, SEATTLE, WA 98101-2004",44,METRO PARKING INC,,,,,,,,,,,,,,,N,,,
-122.339431915131,47.6086693519349,13802,4194,,METRO PARKING INC,DEBRA MUSCATEL,2066229180           ,"1430 1ST AVE, SEATTLE, WA 98101-2004",44,METRO PARKING INC,,,,,,,,,,,,,,,N,,,
-122.337171259095,47.6079398471436,13803,723319,,IMPARK  146   BENAROYA HALL,EDWARD DANYLUK,2063811789           ,"200 UNIVERSITY ST, SEATTLE, WA 98101",430,IMPARK  146   BENAROYA HALL,,,,,,,,,,,,,,,N,,,
-122.335819651758,47.6155472550747,13804,743665,,AMB INDUSTRY GROUP LLC,,2062670446           ,"1918 8TH AVE, SEATTLE, WA 98101",405,AMB INDUSTRY GROUP LLC,,,,,,,,,,,,,,,N,,,
-122.344585637742,47.6152710634503,13805,519369,,REPUBLIC PARKING  155,GARY BECK,2067834144           ,"314 BELL ST, SEATTLE, WA 98121",21,REPUBLIC PARKING  155,,,,,,,,,,,,,,,N,,,
-122.338349417868,47.6152312928076,13806,561451,,DOPPLER 82568,BILL BEATTIE,2066247040           ,"2021 7TH AVE, SEATTLE, WA 98121-2601",1067,DOPPLER 82568,,,,,,,,,,,,,,,N,,,
-122.337481288352,47.6148702739773,13807,582530,,IPM METROPOLITAN TOWER,JOAN SUNDBERG,2062540811           ,"1942 WESTLAKE AVE, SEATTLE, WA 98101",373,IPM METROPOLITAN TOWER,,,,,,,,,,,,,,,N,,,
-122.333993242536,47.614564376593,13808,743777,,ACE MANAGEMENT HYATT REGENCY SEATTLE,KEITH JONES,6192336624           ,"808 HOWELL ST, SEATTLE, WA 98101",498,ACE MANAGEMENT HYATT REGENCY SEATTLE,,,,,,,,,,,,,,,N,,,
-122.339556996543,47.614487105487,13809,663740,,IMPARK 112,EDWARD DANYLUK,2063811789           ,"2020 5TH AVE, SEATTLE, WA 98121",74,IMPARK 112,,,,,,,,,,,,,,,N,,,
-122.339556996543,47.614487105487,13810,663740,,IMPARK 112,EDWARD DANYLUK,2063811789           ,"2020 5TH AVE, SEATTLE, WA 98121",74,IMPARK 112,,,,,,,,,,,,,,,N,,,
-122.334853053214,47.61417895605,13811,735385,,DIAMOND PARKING 0668,BOB TURLEY,2064367204           ,"720 OLIVE WAY, SEATTLE, WA 98121",212,DIAMOND PARKING 0668,,,,,,,,,,,,,,,N,,,
-122.339131786534,47.6140900763223,13812,530470,,IMPARK  3,EDWARD DANYLUK,2063811789           ,"2010 5TH AVE, SEATTLE, WA 98121",388,IMPARK  3,,,,,,,,,,,,,,,N,,,
